"participant","year","ratification"
"Argentina",1981,1
"Argentina",1982,1
"Argentina",1983,1
"Argentina",1984,1
"Argentina",1985,1
"Argentina",1986,1
"Argentina",1987,1
"Argentina",1988,1
"Argentina",1989,1
"Argentina",1990,1
"Argentina",1991,1
"Argentina",1992,1
"Argentina",1993,1
"Argentina",1994,1
"Argentina",1995,1
"Argentina",1996,1
"Argentina",1997,1
"Argentina",1998,1
"Argentina",1999,1
"Australia",1981,1
"Australia",1982,1
"Australia",1983,1
"Australia",1984,1
"Australia",1985,1
"Australia",1986,1
"Australia",1987,1
"Australia",1988,1
"Australia",1989,1
"Australia",1990,1
"Australia",1991,1
"Australia",1992,1
"Australia",1993,1
"Australia",1994,1
"Australia",1995,1
"Australia",1996,1
"Australia",1997,1
"Australia",1998,1
"Australia",1999,1
"Belarus",1981,1
"Belarus",1982,1
"Belarus",1983,1
"Belarus",1984,1
"Belarus",1985,1
"Belarus",1986,1
"Belarus",1987,1
"Belarus",1988,1
"Belarus",1989,1
"Belarus",1990,1
"Belarus",1991,1
"Belarus",1992,1
"Belarus",1993,1
"Belarus",1994,1
"Belarus",1995,1
"Belarus",1996,1
"Belarus",1997,1
"Belarus",1998,1
"Belarus",1999,1
"Belgium",1981,1
"Belgium",1982,1
"Belgium",1983,1
"Belgium",1984,1
"Belgium",1985,1
"Belgium",1986,1
"Belgium",1987,1
"Belgium",1988,1
"Belgium",1989,1
"Belgium",1990,1
"Belgium",1991,1
"Belgium",1992,1
"Belgium",1993,1
"Belgium",1994,1
"Belgium",1995,1
"Belgium",1996,1
"Belgium",1997,1
"Belgium",1998,1
"Belgium",1999,1
"Bolivia (Plurinational State of)",1981,1
"Bolivia (Plurinational State of)",1982,1
"Bolivia (Plurinational State of)",1983,1
"Bolivia (Plurinational State of)",1984,1
"Bolivia (Plurinational State of)",1985,1
"Bolivia (Plurinational State of)",1986,1
"Bolivia (Plurinational State of)",1987,1
"Bolivia (Plurinational State of)",1988,1
"Bolivia (Plurinational State of)",1989,1
"Bolivia (Plurinational State of)",1990,1
"Bolivia (Plurinational State of)",1991,1
"Bolivia (Plurinational State of)",1992,1
"Bolivia (Plurinational State of)",1993,1
"Bolivia (Plurinational State of)",1994,1
"Bolivia (Plurinational State of)",1995,1
"Bolivia (Plurinational State of)",1996,1
"Bolivia (Plurinational State of)",1997,1
"Bolivia (Plurinational State of)",1998,1
"Bolivia (Plurinational State of)",1999,1
"Brazil",1981,1
